year,segment_row,width_pixels
2017,segment_251,198
2018,segment_251,256
2021,segment_251,248
2022,segment_251,212
2023,segment_251,10
2024,segment_251,189
2017,segment_250,198
2018,segment_250,256
2021,segment_250,248
2022,segment_250,212
2023,segment_250,11
2024,segment_250,190
2017,segment_249,198
2018,segment_249,254
2021,segment_249,248
2022,segment_249,210
2023,segment_249,11
2024,segment_249,192
2017,segment_228,202
2018,segment_228,256
2021,segment_228,233
2022,segment_228,197
2023,segment_228,14
2024,segment_228,227
